"","value","L1"
"1","
			
			
			
				어메이징 스파이더맨
			
			
			다른건 몰라도 거미줄 활용 (웹슈터를 맛깔나게 활용)과 타격감 만큼은 다른 시리즈에 비해 어메이징이 갑인듯 하다. 
			
			
			
				
				
				
				신고
			
			
			",1
"2","
			
			
			
				어메이징 스파이더맨
			
			
			가필드가 주연한 스파이더맨이 제일 별로였던 듯. 
			
			
			
				
				
				
				신고
			
			
			",1
"3","
			
			
			
				어메이징 스파이더맨
			
			
			앤드류가보고싶ㄷㄱㆍㅇ 
			
			
			
				
				
				
				신고
			
			
			",1
"4","
			
			
			
				어메이징 스파이더맨
			
			
			홈커밍 보고 이거보니까 홈커밍 진짜 mcu아니였으면 어쩔려고 그랬을까...어메이징이 개인적으로 백배는 더 재밌는거같다. 그리고 영화 전개는 머리가 나쁘지않는한 전개따라갈수있을 것 같다. 
			
			
			
				
				
				
				신고
			
			
			",1
"5","
			
			
			
				어메이징 스파이더맨
			
			
			집에서 봤는데 꽤 재밌음. 여주도 꺅꺅 거리지 않아서 좋았고 2편에선 데인 드한이 나온다던데(흐뭇) 왜 3편까지 안만들었는지 의문 
			
			
			
				
				
				
				신고
			
			
			",1
"6","
			
			
			
				어메이징 스파이더맨
			
			
			자꾸 스파이더맨123,이랑 비교하는사람들 있는데 여기서의 피터파커가 원작만화책에서 피터파커랑 더 유사하다는것만 알아두시길 
			
			
			
				
				
				
				신고
			
			
			",1
"7","
			
			
			
				어메이징 스파이더맨
			
			
			스파이더맨에 드라마가 들어가니 더 매력적 
			
			
			
				
				
				
				신고
			
			
			",1
"8","
			
			
			
				어메이징 스파이더맨
			
			
			홈커밍보고왔는데 어메이징이 훨 잼난듯요 
			
			
			
				
				
				
				신고
			
			
			",1
"9","
			
			
			
				어메이징 스파이더맨
			
			
			전작들이 얼마나 좋았는지 모르겠지만 이정도면 재밌는데? 
			
			
			
				
				
				
				신고
			
			
			",1
"10","
			
			
			
				어메이징 스파이더맨
			
			
			언제부터 마블이 심오하고 진지한 분위기였는지 매내애내인가? 너 좀 설명좀 해봐라 DC코믹스가 더 진지하면 더 진지했지 마블이 무슨 ㅋㅋㅋ 
			
			
			
				
				
				
				신고
			
			
			",1
"11","
			
			
			
				어메이징 스파이더맨
			
			
			원래 삼촌 죽인 범인 잡으려고 마스크 쓴 거 아닌가요?근데 갑자기 그 점은 온데간데 없고 갑자기 리저드맨이 나타난게 지 책임이라는 영웅적인 소리만 하고 있네요...2편 돼서는 아예 삼촌이라는 존재를 잊어버린 거 같아요. 
			
			
			
				
				
				
				신고
			
			
			",2
"12","
			
			
			
				어메이징 스파이더맨
			
			
			오리지널이랑만 비교당하는 게 불쌍하네요. 어메이징은 이거 나름만의 매력이 있어서 간간히 생각나는데...ㅜㅜ 
			
			
			
				
				
				
				신고
			
			
			",2
"13","
			
			
			
				어메이징 스파이더맨
			
			
			약속은 깨져야 제맛이지. 
			
			
			
				
				
				
				신고
			
			
			",2
"14","
			
			
			
				어메이징 스파이더맨
			
			
			어린 영웅의 고민과 고뇌를 잘 보여주는 색다른 영웅물.. 
			
			
			
				
				
				
				신고
			
			
			",2
"15","
			
			
			
				어메이징 스파이더맨
			
			
			완전 재밌게 봤던 영화. 스파이던맨 시리즈 중 최고. 남녀 주인공 비주얼 최강 커플~^^ 
			
			
			
				
				
				
				신고
			
			
			",2
"16","
			
			
			
				어메이징 스파이더맨
			
			
			암걸린다 그냥 미국청소년 드라마 수준 
			
			
			
				
				
				
				신고
			
			
			",2
"17","
			
			
			
				어메이징 스파이더맨
			
			
			히어로물이 아닌 하이틴 로맨스물...SF액션영화를 원했건만.. 
			
			
			
				
				
				
				신고
			
			
			",2
"18","
			
			
			
				어메이징 스파이더맨
			
			
			90년대 히어로 무비같다. 스토리가 너무 유치하고 개연성도 없고.. 손발이 오그라드는 느낌 
			
			
			
				
				
				
				신고
			
			
			",2
"19","
			
			
			
				어메이징 스파이더맨
			
			
			전 작 들. . . 까댔었는데 헐~;;; 
			
			
			
				
				
				
				신고
			
			
			",2
"20","
			
			
			
				어메이징 스파이더맨
			
			
			남주인공이 최악이네요 
			
			
			
				
				
				
				신고
			
			
			",2
"21","
			
			
			
				어메이징 스파이더맨
			
			
			와우.. 생각했던 것보다 훨씬 재미있음!! 
			
			
			
				
				
				
				신고
			
			
			",3
