"","value","L1"
"1","
			
			
			
				스파이더맨: 홈커밍
			
			
			히어로물 좋아하는편은 아닌데 남친이 마블영화 팬이라서 같이 보러갔음. 근데 내가 스파이더맨 팬이 되어서 나왔음 ㅋㅋㅋ 집가면 마블영화 다 챙겨봐야겠음 
			
			
			
				
				
				
				신고
			
			
			",1
"2","
			
			
			
				스파이더맨: 홈커밍
			
			
			개꿀잼 영화 하지만.. 주인공 인성 논란 
			
			
			
				
				
				
				신고
			
			
			",1
"3","
			
			
			
				스파이더맨: 홈커밍
			
			
			톰홀랜드.. 스파이디를 연기하기위해 태어났다. 
			
			
			
				
				
				
				신고
			
			
			",1
"4","
			
			
			
				스파이더맨: 홈커밍
			
			
			평론가 평점 없앴으면 좋겠습니다. 돈받고 일하는건지.이딴 애들영화에 인터스텔라랑 평점을 똑같이 주는건 너무 심합니다.지금까지 마블 다봤는데. 마블중에 최악이었습니다. 앤트맨이랑. 데드풀 1/3도 못따라갑니다. 닥터스트레인지의 1/100 도 못됨. 
			
			
			
				
				
				
				신고
			
			
			",1
"5","
			
			
			
				스파이더맨: 홈커밍
			
			
			스파이더맨 멋있어요 짱 짱 앞부분이 지루했던게 흠이에요 
			
			
			
				
				
				
				신고
			
			
			",1
"6","
			
			
			
				스파이더맨: 홈커밍
			
			
			2번째 쿠키영상 진짜 통수 제대로 맞았다 ㅋㅋ 
			
			
			
				
				
				
				신고
			
			
			",1
"7","
			
			
			
				스파이더맨: 홈커밍
			
			
			볼만한 영화였습니다^^ 
			
			
			
				
				
				
				신고
			
			
			",1
"8","
			
			
			
				스파이더맨: 홈커밍
			
			
			어메이징보다는 좋았음 
			
			
			
				
				
				
				신고
			
			
			",1
"9","
			
			
			
				스파이더맨: 홈커밍
			
			
			신선한 스파이더맨 믿고보는아이언맨 꿀조합 
			
			
			
				
				
				
				신고
			
			
			",1
"10","
			
			
			
				스파이더맨: 홈커밍
			
			
			재밌게 봤습니다^^. 
			
			
			
				
				
				
				신고
			
			
			",1
"11","
			
			
			
				스파이더맨: 홈커밍
			
			
			여윽시 믿고보는 마블스튜디오 
			
			
			
				
				
				
				신고
			
			
			",2
"12","
			
			
			
				스파이더맨: 홈커밍
			
			
			중간중간 유머가 재밌어서 많이 웃었고 액션신등 다른것도 잘 된거같아여 쿠키영상도 참... 대단했고 조조로 갔는데 사람이 많을만큼 그만한 가치가 있는 영화였다고 생각합니다 
			
			
			
				
				
				
				신고
			
			
			",2
"13","
			
			
			
				스파이더맨: 홈커밍
			
			
			마블이 나에게 똥을 줬어.아 정정할게 똥까진 아니고 방귀로하자.좀 지독한놈으로. 
			
			
			
				
				
				
				신고
			
			
			",2
"14","
			
			
			
				스파이더맨: 홈커밍
			
			
			역시!!! 어느정도 유치하면서 내용도 재밋고 흥미진진이였습니당!!!^^ 
			
			
			
				
				
				
				신고
			
			
			",2
"15","
			
			
			
				스파이더맨: 홈커밍
			
			
			생각보다 아이언맨이 많이 안나와서 아쉽지만 볼만합니다 
			
			
			
				
				
				
				신고
			
			
			",2
"16","
			
			
			
				스파이더맨: 홈커밍
			
			
			시빌워보다 볼만합니다 
			
			
			
				
				
				
				신고
			
			
			",2
"17","
			
			
			
				스파이더맨: 홈커밍
			
			
			난왜 미쉘이자꾸 리리윌리엄스 같은 기분이들지... 
			
			
			
				
				
				
				신고
			
			
			",2
"18","
			
			
			
				스파이더맨: 홈커밍
			
			
			재밌습니다.역시 마블ㅎㅎㅎ다른 얘기 찾아보고 가시면 더 재밌을지도! 
			
			
			
				
				
				
				신고
			
			
			",2
"19","
			
			
			
				스파이더맨: 홈커밍
			
			
			그냥저냥 볼만햇어요 기대를 너무해서그런가..그렇게까진 재밌진않았ㅇㆍㄱ요 
			
			
			
				
				
				
				신고
			
			
			",2
"20","
			
			
			
				스파이더맨: 홈커밍
			
			
			믿고 보는 영화 스파이더맨 
			
			
			
				
				
				
				신고
			
			
			",2
"21","
			
			
			
				스파이더맨: 홈커밍
			
			
			완전 꿀잼이었음ㅋㅋㅋ 
			
			
			
				
				
				
				신고
			
			
			",3
"22","
			
			
			
				스파이더맨: 홈커밍
			
			
			정말정말재밌어요~~ 
			
			
			
				
				
				
				신고
			
			
			",3
"23","
			
			
			
				스파이더맨: 홈커밍
			
			
			대박입니다 무조건보세요 
			
			
			
				
				
				
				신고
			
			
			",3
"24","
			
			
			
				스파이더맨: 홈커밍
			
			
			아..완전 졸리더라....하아 기대했는데.. 
			
			
			
				
				
				
				신고
			
			
			",3
"25","
			
			
			
				스파이더맨: 홈커밍
			
			
			마블 좀 실망 액션 넘 약하고 이번 스파이더맨 내 취향에서는 불호 
			
			
			
				
				
				
				신고
			
			
			",3
"26","
			
			
			
				스파이더맨: 홈커밍
			
			
			정말 유치해서 끝까지 보기 힘들었다.박열이 훨씬 재밌음. 
			
			
			
				
				
				
				신고
			
			
			",3
"27","
			
			
			
				스파이더맨: 홈커밍
			
			
			주인공이 너무 매력적이야... 주인공에게 반하고 옴.. 
			
			
			
				
				
				
				신고
			
			
			",3
"28","
			
			
			
				스파이더맨: 홈커밍
			
			
			마블로 간 스파이더맨은 홀로서기에 성공할 것인가 
			
			
			
				
				
				
				신고
			
			
			",3
"29","
			
			
			
				스파이더맨: 홈커밍
			
			
			오늘보고왓는데 재밌네요 티비 돈내는거 나오면 매일봐야지 
			
			
			
				
				
				
				신고
			
			
			",3
"30","
			
			
			
				스파이더맨: 홈커밍
			
			
			걍 123456789 
			
			
			
				
				
				
				신고
			
			
			",3
"31","
			
			
			
				스파이더맨: 홈커밍
			
			
			두번째 쿠키영상 최고예요! 
			
			
			
				
				
				
				신고
			
			
			",4
"32","
			
			
			
				스파이더맨: 홈커밍
			
			
			정말재밋어요 또보고싶어요 
			
			
			
				
				
				
				신고
			
			
			",4
"33","
			
			
			
				스파이더맨: 홈커밍
			
			
			평점아무기대없이 봤는데 킬링타임용 영화. 어메이징 스파이더맨을 보기전이라 그런지 나름 재밌었다. 하지만 나에게는 어메이징이 더 재밌었음 
			
			
			
				
				
				
				신고
			
			
			",4
"34","
			
			
			
				스파이더맨: 홈커밍
			
			
			개인적으로 액션은 어메이징 스파이더맨이 더 거미같은 움직임을 보여줘 한수위라고 생각하지만 주인공의 성장이나 웃음포인트는 홈커밍이 조음. 이제 시작이고 앞으로가 더 기대되고 기다려지는 홈커밍! 
			
			
			
				
				
				
				신고
			
			
			",4
"35","
			
			
			
				스파이더맨: 홈커밍
			
			
			굿구수수구ㅜ수구굿구숙수굿굿 
			
			
			
				
				
				
				신고
			
			
			",4
"36","
			
			
			
				스파이더맨: 홈커밍
			
			
			재밌었음! 아이언맨도 넘좋았다 
			
			
			
				
				
				
				신고
			
			
			",4
"37","
			
			
			
				스파이더맨: 홈커밍
			
			
			이정도의 점수 너무 뻔한 영웅 히어로 스토리. 쿠키영상.ㅋ 개 쩔음 한방 크게 먹음 
			
			
			
				
				
				
				신고
			
			
			",4
"38","
			
			
			
				스파이더맨: 홈커밍
			
			
			전체적으로 재밌게는 봤는데 1세대 스파이더맨 처럼 여자친구랑 관계라던가 스파이더맨 탄생배경 같은것들이 좀 부족하게 나온 느낌. 토비 맥과이어 따라올 스파이더맨은 없는 듯. 
			
			
			
				
				
				
				신고
			
			
			",4
"39","
			
			
			
				스파이더맨: 홈커밍
			
			
			조커 같은 악당이 없다는게 슬프다.. 
			
			
			
				
				
				
				신고
			
			
			",4
"40","
			
			
			
				스파이더맨: 홈커밍
			
			
			역시 스파이더맨, 역시 톰 홀랜드. 
			
			
			
				
				
				
				신고
			
			
			",4
"41","
			
			
			
				스파이더맨: 홈커밍
			
			
			너무 재밌어요 톰홀랜드 졸귀ㅣㅣ.. 
			
			
			
				
				
				
				신고
			
			
			",5
"42","
			
			
			
				스파이더맨: 홈커밍
			
			
			기대하고 갔는데도 재밌었다 
			
			
			
				
				
				
				신고
			
			
			",5
"43","
			
			
			
				스파이더맨: 홈커밍
			
			
			그냥 저냥 볼만한 영화 끈 감흥은 없음 
			
			
			
				
				
				
				신고
			
			
			",5
"44","
			
			
			
				스파이더맨: 홈커밍
			
			
			역시 고향에 돌아오니 스케일이 다르다는ㅋ알라뷰 톰홀랜드♥♥♥♥ 
			
			
			
				
				
				
				신고
			
			
			",5
"45","
			
			
			
				스파이더맨: 홈커밍
			
			
			아이언맨슈트입은 스파이더맨 
			
			
			
				
				
				
				신고
			
			
			",5
